NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2009,2999.0,722.0,401.0,,,,,,,,,,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3152.0,918.0,361.0,,,,,,,,,,CCMN,,,,,,,,,,19.243204383704906,,,17.338113275613274,,,15.164755614942635,,,20.872519595300076,,,24.621827739039702,,,21.70216272807781,,
2011,3122.0,1059.0,430.0,81.55028827674568,,,,,,25.669078240765415,,,CCMN,,,,81.55028827674568,,,81.55028827674568,,,18.453470416699943,,,18.254706740693287,,,21.05108951153695,,,27.569580732538462,,,26.13342882207127,,,26.88853649700075,,
2012,3045.0,1012.0,300.0,69.00698071262721,,,,,,20.961423308521034,,,CCMN,,,,53.25074782652971,,,,,,16.19506127640975,14.58128078817734,,24.595013807095736,14.58128078817734,,20.253038471195076,14.58128078817734,,24.52047991671035,14.58128078817734,,26.53208177808735,14.58128078817734,,24.85353653172933,14.58128078817734,
2013,3387.0,1142.0,289.0,59.280787350409874,,,,,,2.1920029920025517,15.073352691697343,0.09286845425020802,CCMN,52.05196338943018,,,25.45645312287893,,,37.31916149985238,,,12.650365944924639,24.71487547120466,17.076266880782267,16.861942887577232,20.6967818128137,8.325952170062001,15.931772605242056,23.863418017536706,22.743824426729653,19.950574411638247,28.982042653777093,10.332364368389015,17.981338635131856,26.402849478263605,14.468252604637247,18.78857006326819,26.60459036320813,12.666821316308754
2014,3364.0,1148.0,274.0,33.70819948517324,15.190249702734839,,9.670086471070794,,,34.00722571546125,32.83628895076624,16.577320282750087,CCMN,54.11674064769534,,,36.65092187138696,15.190249702734839,,47.183365820826104,,,24.222239571298772,40.04436319112661,52.25044580263332,24.36367586040594,43.89179983710305,38.66605798086179,21.267070782598772,48.227054212851165,44.84640835403355,28.72910936796583,54.0479337082547,37.544202701904545,25.26560262992864,53.410780180841485,36.23006119321576,27.435256322124737,51.94747069061341,38.38703903028845
2015,3345.0,1081.0,245.0,32.18667917802666,19.997657093532798,11.243445559589057,29.721732609220602,,,15.175268729806296,53.81603504285668,41.16530697542868,CCMN,38.45132206226904,,,35.48764683296026,26.183358246138514,5.414525351745082,42.82400847013118,,0.6352765321375187,15.103412275959935,49.11225391080095,45.140935504255495,23.20764907170383,42.03500933966795,46.21383979600809,22.3001184945727,65.57370185578063,29.978435680948586,27.00608277873354,62.61208343463309,30.58503210934677,23.477268950367517,61.23299799449593,32.064539706818145,25.94781174430783,63.384080980293966,29.81130719495771
2016,3204.0,1066.0,311.0,35.734592985881754,61.14888611026274,18.560996990002064,31.201185503705357,14.11347561868285,0.30661497072321564,17.396350145000472,28.47500841711724,54.215649622952995,CCMN,47.04338215006302,14.513108614232209,,38.58552455184856,72.97868919123601,19.997617689565253,44.65280067705438,14.513108614232209,,20.928831434268712,47.05458049059286,48.27059699461551,27.066478596101977,61.464194682242436,24.85825010403662,29.10544708987486,45.576987770402255,48.228634661218926,30.758891508222128,55.01747268206321,38.664202073274126,29.528386445866197,55.00125514049958,37.561567718207186,30.194550427541163,55.067899606653185,38.49973985967999
2017,3597.0,1118.0,305.0,16.815335445896025,77.23020884398213,13.351242114083256,17.075252181198277,43.88626450545531,11.484514796953526,9.234156948939793,3.737912046436258,38.06048691369792,CCMN,21.89906745117416,38.46062194686048,5.908296596369991,18.60530119075245,75.40902829868949,19.562728297661227,19.64172707862751,47.99833194328607,3.7855620424427756,7.363838219032355,46.43369377860021,46.911190354914005,9.773145490409876,44.14834536735429,34.69776011600081,14.554026052372217,62.928136945105365,33.92527177415121,14.641660988964682,58.06115760307129,35.112496714351806,15.411694860838796,61.098267547830524,33.12539939761271,14.375269282376804,59.30333160018205,33.978341860086886
2018,3601.0,1093.0,321.0,24.9377345082732,65.03648368092396,25.944218649923556,23.773495223444485,73.45182141312358,20.569198662939407,14.912139558756898,4.054429325187448,6.026103860038878,CCMN,30.003379690343216,79.26092348516674,10.333359441940392,26.15355623779155,67.90440336776061,22.778382312977968,27.877220656610163,77.70492965587927,11.185607325930665,17.9209229386206,42.67229593699895,49.02337327327254,20.990034376649746,59.57685636933232,35.82333831431304,24.287416238363324,64.22112828824311,29.04914067173029,24.07574236566439,62.1729388844374,28.915751615104366,20.869060052464622,56.332835745377324,36.420570869023095,23.09325433462001,60.8721154547334,30.58119702335296
2019,3709.0,1096.0,285.0,21.954806801603688,71.5124538787344,20.784328031874384,20.21545970276403,61.56295635700974,29.032471783525867,4.237531086848327,1.7925396095348358,30.129414936640604,CCMN,24.86931439114523,78.5485729888919,13.684436889613487,21.89472668825202,73.23859617529804,18.54088978174227,22.815794976877783,81.48852607315862,12.98320876063617,12.653037520453532,43.86599683505004,49.59203851335832,15.26973814541979,62.12833326913942,30.852366829719212,22.55678935895116,61.663331060787655,30.671557905278156,20.625423572158336,62.883057939990806,28.343005509492656,19.949383787026438,52.431313238936916,38.64703015147879,20.010578150067627,60.11704327174269,30.704313564436795
2020,3708.0,1086.0,339.0,24.60754312904221,61.03315230544953,31.451150131724393,21.576530254351006,56.18869725578853,35.84968813397352,15.385962024311539,,12.486515641855448,CCMN,30.073117388211053,69.42426930138774,20.125458296127686,25.344403083465526,64.76415042112723,27.13900415831078,24.122098499668525,77.38389922573653,16.865793390094634,13.226786943344226,41.229431611237935,53.384311535652316,13.607560557782369,63.06111251666173,32.8809331175836,25.67076232851976,56.17343585452213,35.593288032082405,24.805490383034876,60.605974355160164,32.20649962383982,18.658948465970642,44.03592905137775,50.9232303167529,22.934435503166448,56.09457378777127,36.6422530441639
2021,3755.0,1071.0,204.0,21.123252681262972,79.62268943714744,17.190412568835093,18.714656216595934,72.91749858795718,22.87876293517789,8.46796190937336,12.03728362183755,2.0239680426098534,CCMN,23.49071216147129,85.04967230330743,11.512224389681895,21.953758821180706,81.23932231063023,15.590997818334548,23.596508275189496,82.28315087367952,14.304768348976072,14.206700846152499,65.78906220414005,31.759517417210827,17.621886094093025,74.77863550636133,16.709435038995622,21.35437499510678,75.64057147715589,20.76704378715485,20.76826687793456,74.84772038738613,21.965301691821967,20.481739534066573,75.68052167685916,20.571073725367693,19.755687828318056,75.74107318982541,20.856188528534297
2022,3846.0,1016.0,211.0,22.047114438127675,76.91311517999534,17.969354474292523,18.317664181629613,72.68564742502252,22.35392328695463,8.976859074362974,9.263461447548812,10.920436817472696,CCMN,22.81048797556312,80.66554797573777,14.497552788494161,20.912744687989274,79.7970811631837,15.697308033562742,19.145930246083495,83.18729139410729,13.147801117299208,15.714701126118712,63.25002894592301,31.36438589678818,19.729310615467536,73.6277319041221,22.891735871455058,21.176327600632938,69.84929134869257,24.30346887499694,19.5384722818123,73.96876340753884,20.89032735192535,20.714867172226132,73.27385204138182,21.654282960567677,19.91513004515193,73.90873424396734,21.258071632771095
2009,5212.0,1263.0,549.0,,,,,,,,,,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5364.0,1162.0,557.0,,,,,,,,,,CT,,,,,,,,,,8.094161790294907,,,7.054436987322894,,,10.060695419458808,,,9.598297908991732,,,10.772310435783822,,,9.667936184712927,,
2011,5479.0,1163.0,567.0,55.24730790290199,,,,,,9.971775298460166,,,CT,,,,55.24730790290199,,,55.24730790290199,,,3.4245578936214165,,,13.636134504906178,,,5.942319819047264,,,10.494739129899216,,,10.936287553084751,,,10.289010375862306,,
2012,5595.0,1066.0,678.0,32.29331520255665,,,,,,6.8271139974229875,,,CT,,,,28.643457901855626,,,,,,3.977206802699968,,,11.091611099653996,,,4.578895177094674,,,7.726151805291806,,,6.149004141100804,,,7.73715048659321,,
2013,6207.0,1368.0,520.0,52.092190553749035,,,92.60512324794587,,,,,,CT,58.69179958111809,,,12.357337717201817,,,52.81134203318834,,,2.174467950169503,,,7.447697300283091,,,4.294523429834994,,,5.129217620087082,,,3.47943213012141,,,4.191050339911037,,
2014,6437.0,1311.0,807.0,16.268254643618732,,,0.3868261612552431,,,18.263679169614235,,,CT,29.314209889466103,,,18.14637330431802,,,27.34538422160557,,,5.077168343156516,17.97354220653601,77.64882378075636,14.354292194844295,7.312412614572006,61.83392884884263,5.652010784002886,22.275772594960426,74.46410364138156,10.442665147945483,29.73642964657415,65.09656954567663,8.323381030408646,29.557477577259256,63.4340669203429,9.697889324927345,29.108386641859425,65.26115494950918
