CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,CONCLUINTES,CONCLUINTES_FEM,CONCLUINTES_MASC,CONCLUINTES_DIURNO,CONCLUINTES_NOTURNO,CONCLUINTES_0_17,CONCLUINTES_18_24,CONCLUINTES_25_29,CONCLUINTES_30_34,CONCLUINTES_35_39,CONCLUINTES_40_49,CONCLUINTES_50_59,CONCLUINTES_60_MAIS,CONCLUINTES_BRANCA,CONCLUINTES_PRETA,CONCLUINTES_PARDA,CONCLUINTES_AMARELA,CONCLUINTES_INDIGENA,CONCLUINTES_CORND,CONCLUINTES_NACBRAS,CONCLUINTES_NACESTRANG,CONCLUINTES_DEFICIENTE,CONCLUINTES_FINANC,CONCLUINTES_FINANC_REEMB,CONCLUINTES_FIES,CONCLUINTES_RPFIES,CONCLUINTES_FINANC_REEMB_OUTROS,CONCLUINTES_FINANC_NREEMB,CONCLUINTES_PROUNII,CONCLUINTES_PROUNIP,CONCLUINTES_NRPFIES,CONCLUINTES_FINANC_NREEMB_OUTROS,CONCLUINTES_RESERVA_VAGA,CONCLUINTES_RVREDEPUBLICA,CONCLUINTES_RVETNICO,CONCLUINTES_RVPDEF,CONCLUINTES_RVSOCIAL_RF,CONCLUINTES_RVOUTROS,CONCLUINTES_PROCESCPUBLICA,CONCLUINTES_PROCESCPRIVADA,CONCLUINTES_PROCNAOINFORMADA,CONCLUINTES_PARFOR,CONCLUINTES_APOIO_SOCIAL,CONCLUINTES_ATIV_EXTRACURRICULAR,CONCLUINTES_MOB_ACADEMICA,CONCLUINTES_AMPLA
121706,2009,CAXIAS,CIENCIAS BIOLOGICAS  BIOFISICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99287,2009,MACAE,CIENCIAS BIOLOGICAS - LICENCIATURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121848,2009,MACAE,ENFERMAGEM E OBSTETRICIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120922,2009,MACAE,FARMACIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121850,2009,MACAE,MEDICINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121852,2009,MACAE,NUTRICAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120924,2009,MACAE,QUIMICA - LICENCIATURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14365,2009,CCJE,ADMINISTRACAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14333,2009,CLA,ARQUITETURA E URBANISMO,171.0,106.0,65.0,0.0,0.0,0.0,74.0,86.0,9.0,2.0,0.0,0.0,0.0,144.0,3.0,20.0,1.0,0.0,3.0,171.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,31.0,0.0,171.0
23965,2009,CLA,ARTES CENICAS - CENOGRAFIA,21.0,14.0,7.0,0.0,0.0,0.0,11.0,7.0,2.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,21.0
23977,2009,CFCH,ARTES CENICAS - DIRECAO TEATRAL,6.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0
35557,2009,CLA,ARTES CENICAS - INDUMENTARIA,16.0,16.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,11.0,2.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,16.0
14324,2009,CCMN,ASTRONOMIA,9.0,4.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,9.0
99321,2009,CCJE,BIBLIOTECONOMIA E GESTAO DE UNIDADES DE INFORMACAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85783,2009,CCMN,CIENCIA DA COMPUTACAO,75.0,15.0,60.0,0.0,0.0,0.0,26.0,44.0,4.0,1.0,0.0,0.0,0.0,60.0,1.0,11.0,1.0,0.0,2.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9.0,0.0,75.0
14331,2009,CCMN,CIENCIAS ATUARIAIS,20.0,11.0,9.0,0.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,20.0
112584,2009,CCS,CIENCIAS BIOLOGICAS  BIOFISICA,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
112586,2009,CCS,CIENCIAS BIOLOGICAS  MICROBIOLOGIA E IMUNOLOGIA,36.0,26.0,10.0,0.0,0.0,0.0,33.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,7.0,1.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,0.0,36.0
