NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,CENTRO,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,EVASAO,RETENCAO,SUCESSO
2009,2999.0,722.0,401.0,,,,,,,,,,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3152.0,918.0,361.0,,,,,,,,,,CCMN,,,,,,,,,,21.70216272807781,,,10.734211205706233,,,0.9017885189733703,,,2.791821902032121,,,13.97055645332648,,,7.731606274751329,,,21.70216272807781,,
2011,3122.0,1059.0,430.0,1.2194582562353344,,,,,,25.669078240765415,,,CCMN,,,,1.2194582562353344,,,1.2194582562353344,,,25.669078240765415,,,8.838289689769766,,,0.8718505137858119,,,3.737405064694245,,,18.001844544622582,,,8.928301991473646,,,26.88853649700075,,
2012,3045.0,1012.0,300.0,5.327214387394183,,,,,,19.526322144335147,,,CCMN,,,,3.5332930266452225,,,5.3386632632917745,,,21.355498986587055,14.58128078817734,,7.410715879160754,11.585265504194908,,1.140432630748933,0.7647789646560039,,3.438442454464696,3.2156052837351443,,16.25261080885194,12.70088366385812,,8.600925722877388,8.382280335388081,,24.85353653172933,14.58128078817734,
2013,3387.0,1142.0,289.0,20.871287474917573,,0.07278170295452517,4.906776169930163,,,1.5987186650289182,15.323294951284323,12.59403961335423,CCMN,1.7770876673458,,,3.50652022709161,,,1.2166921956129777,,,15.528527573978426,26.885775405243482,12.666821316308754,5.698178483092093,15.90652443872022,7.339648597742129,0.9811197913465443,2.690449774803141,1.2271040892788891,2.8756406251281335,6.127967661854087,2.6234835828288223,12.73734194394376,27.91684492626143,7.314137913007737,6.1633834573433655,20.962199774245658,5.352683403301018,18.78857006326819,26.60459036320813,12.666821316308754
2014,3364.0,1148.0,274.0,10.35683866608302,5.341177764805604,0.9999470906817066,1.69581530278834,,1.4940215509095338,17.429053330202514,33.40225730134141,35.89307038869721,CCMN,2.8890888383063063,,,6.5841173456364395,5.500351936604445,0.25019817677368206,2.2694962481399457,5.305805726628083,,20.884295475162034,51.927675637295586,38.13684085351477,10.617639935953326,21.500467358774216,22.492336215295445,1.3133884714408233,4.4507733609956786,1.15941619397164,4.256550866891037,10.647276748205542,7.091649938160271,18.59171036700605,43.00446921797652,27.271699223529325,8.923919448602204,28.94186650173792,11.115339806759124,27.435256322124737,51.94747069061341,38.38703903028845
2015,3345.0,1081.0,245.0,12.47094528279401,20.359961017586233,2.5537601415259714,10.266004260174498,,2.924461582334975,3.502882609817802,52.86633449562394,24.333085471096762,CCMN,4.59622963812729,,,9.801420160211379,14.450501915531031,1.4045206730157993,4.485543707597376,8.069572489588019,0.09075379030535981,16.146391584096456,59.41567920962085,28.406786521941907,6.237712776339487,27.533557799784074,18.93915863121185,1.4456414699792088,3.6789854883598707,1.7061504114400246,5.488156084237232,16.357074496114283,4.332566858332464,17.09790557113492,49.02615871694244,19.88959862475499,8.849906173172917,31.534159884818646,9.92170857020272,25.94781174430783,63.384080980293966,29.81130719495771
2016,3204.0,1066.0,311.0,15.337973154963294,46.98265489698868,6.773414375786437,12.213766446945513,14.513108614232209,7.173453363231606,2.864181463328611,22.490299562217633,24.552872120661945,CCMN,7.346831086061881,5.816750225906898,0.11720043822772555,12.836801101276466,25.269731950537704,3.6824143356805332,6.305718070399477,12.965784554346122,0.11720043822772555,17.357749326264695,43.02185241682762,34.81732552399945,9.222724246544956,26.90177946475232,22.59842221070105,1.8796329409646417,4.432583769652474,2.524296821140455,7.5633763880524345,13.17140547482115,5.879224672229145,20.251051795658086,43.21444549539255,24.91940634696508,9.943498631883074,29.35721165311211,13.580333512714908,30.194550427541163,55.067899606653185,38.49973985967999
2017,3597.0,1118.0,305.0,7.858444144214777,62.92938773681988,7.160678757079666,7.39928219431597,35.18074051498935,11.87081510278357,0.4787171017670938,1.17794926294745,14.946848000223646,CCMN,4.120818055338916,15.817002760430874,0.8631800855453461,6.92486753656573,33.800209964679176,4.49737515523992,3.2785464429507942,14.51434546886578,0.5873188103816871,7.4861458182523934,43.919984824626844,29.48096670484696,3.224041276966476,24.45416717276499,20.706904033790284,0.9392497996798785,4.1328871029865955,2.08832793312197,4.0272865541614244,21.169103857131997,5.464131090408474,9.112634504235281,47.96772850706625,21.341092285260284,5.371141293948239,30.819125892325836,12.6372495748266,14.375269282376804,59.30333160018205,33.978341860086886
2018,3601.0,1093.0,321.0,12.199151292053148,49.491548507768414,11.859131638947963,10.410446688040391,51.69098681517458,10.653474150885344,0.6778263567927654,0.203381901901823,8.068591233519655,CCMN,6.48935264163774,27.55260459160283,1.878322923204677,10.707948711248722,39.704541390586385,6.767511130842099,5.178352740383156,23.533739549934573,1.7667028012449244,12.385305623371288,44.96545674972258,23.813685892510865,8.08868593897691,26.81463192706549,18.871539274491308,1.9894278500324094,6.3044504552708,1.8157689570676312,7.476309473152611,23.991999212649162,6.305396040470266,15.897382254527521,52.56320114705161,18.881936108335147,7.229359510054753,30.36339144222548,11.699260915017817,23.09325433462001,60.8721154547334,30.58119702335296
