NU_ANO_CENSO,NO_CURSO,CO_CURSO,DURACAO,CENTRO,EVASAO,RETENCAO,SUCESSO,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,QT_MAT,QT_ING,QT_CONC
2009,CIENCIAS BIOLOGICAS  BIOFISICA,121706,4.0,CAXIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,63.0,0.0
2009,CIENCIAS BIOLOGICAS - LICENCIATURA,99287,5.0,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,62.0,0.0
2009,ENFERMAGEM E OBSTETRICIA,121848,5.0,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,0.0
2009,FARMACIA,120922,5.0,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,49.0,0.0
2009,MEDICINA,121850,6.0,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,0.0
2009,NUTRICAO,121852,5.0,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,19.0,0.0
2009,QUIMICA - LICENCIATURA,120924,5.0,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,33.0,0.0
2009,ADMINISTRACAO,14365,5.0,CCJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.0,178.0,0.0
2009,ARQUITETURA E URBANISMO,14333,5.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381.0,297.0,171.0
2009,ARTES CENICAS - CENOGRAFIA,23965,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,29.0,21.0
2009,ARTES CENICAS - DIRECAO TEATRAL,23977,4.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,15.0,6.0
2009,ARTES CENICAS - INDUMENTARIA,35557,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,36.0,16.0
2009,ASTRONOMIA,14324,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,18.0,9.0
