NU_ANO_CENSO,NO_CURSO,CO_CURSO,IN_COMUNITARIA,IN_CONFESSIONAL,DURACAO,CENTRO,QT_MAT_AMPLA,QT_ING_AMPLA,QT_CONC_AMPLA,EVASAO,RETENCAO,SUCESSO,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,QT_MAT,QT_ING,QT_CONC
2009,CIENCIAS BIOLOGICAS  BIOFISICA,121706,,,4.0,CAXIAS,110.0,63.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,63.0,0.0
2009,CIENCIAS BIOLOGICAS - LICENCIATURA,99287,,,5.0,MACAE,173.0,62.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,62.0,0.0
2009,ENFERMAGEM E OBSTETRICIA,121848,,,5.0,MACAE,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,0.0
2009,FARMACIA,120922,,,5.0,MACAE,88.0,49.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,49.0,0.0
2009,MEDICINA,121850,,,6.0,MACAE,29.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,0.0
2009,NUTRICAO,121852,,,5.0,MACAE,18.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,19.0,0.0
2009,QUIMICA - LICENCIATURA,120924,,,5.0,MACAE,58.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,33.0,0.0
2009,ADMINISTRACAO,14365,,,5.0,CCJE,695.0,178.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.0,178.0,0.0
2009,ARQUITETURA E URBANISMO,14333,,,5.0,CLA,1381.0,297.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381.0,297.0,171.0
2009,ARTES CENICAS - CENOGRAFIA,23965,,,4.0,CLA,133.0,29.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,29.0,21.0
2009,ARTES CENICAS - DIRECAO TEATRAL,23977,,,4.0,CFCH,75.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,15.0,6.0
2009,ARTES CENICAS - INDUMENTARIA,35557,,,4.0,CLA,131.0,36.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,36.0,16.0
2009,ASTRONOMIA,14324,,,4.0,CCMN,75.0,18.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,18.0,9.0
2009,BIBLIOTECONOMIA E GESTAO DE UNIDADES DE INFORMACAO,99321,,,4.0,CCJE,114.0,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,39.0,0.0
2009,CIENCIA DA COMPUTACAO,85783,,,5.0,CCMN,613.0,102.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0,102.0,75.0
2009,CIENCIAS ATUARIAIS,14331,,,4.0,CCMN,106.0,43.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,43.0,20.0
2009,CIENCIAS BIOLOGICAS  BIOFISICA,112584,,,4.0,CCS,77.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,30.0,3.0
2009,CIENCIAS BIOLOGICAS  MICROBIOLOGIA E IMUNOLOGIA,112586,,,4.0,CCS,150.0,41.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,41.0,36.0
2009,CIENCIAS BIOLOGICAS  MODALIDADE MEDICA,112582,,,4.0,CCS,191.0,89.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,89.0,28.0
2009,CIENCIAS BIOLOGICAS - LICENCIATURA,44900,,,4.0,CCS,373.0,133.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0,133.0,80.0
2009,CIENCIAS CONTABEIS,14364,,,5.0,CCJE,711.0,154.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,154.0,111.0
2009,CIENCIAS ECONOMICAS,14366,,,4.0,CCJE,903.0,192.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.0,192.0,130.0
2009,CIENCIAS MATEMATICAS E DA TERRA,116844,,,3.0,CCMN,102.0,109.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,109.0,0.0
2009,CIENCIAS SOCIAIS,14348,,,4.0,CFCH,565.0,155.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0,155.0,88.0
2009,COMPOSICAO DE INTERIOR,14337,,,4.0,CLA,126.0,35.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,35.0,9.0
2009,COMPOSICAO PAISAGISTICA,14338,,,4.0,CLA,86.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,20.0,13.0
2009,COMUNICACAO SOCIAL,14357,,,4.0,CFCH,346.0,242.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,242.0,0.0
2009,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,23972,,,4.0,CFCH,218.0,49.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,49.0,56.0
2009,COMUNICACAO VISUAL DESIGN,116842,,,4.0,CLA,181.0,198.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,198.0,0.0
2009,DANCA,14372,,,5.0,CCS,232.0,64.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,64.0,12.0
2009,DESENHO INDUSTRIAL - PROJETO DO PRODUTO,33825,,,4.0,CLA,272.0,55.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,55.0,46.0
