CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,INGRESSANTES,INGRESSANTES_FEM,INGRESSANTES_MASC,INGRESSANTES_DIURNO,INGRESSANTES_NOTURNO,INGRESSANTES_VG_NOVA,INGRESSANTES_VESTIBULAR,INGRESSANTES_ENEM,INGRESSANTES_AVALIACAO_SERIADA,INGRESSANTES_SELECAO_SIMPLIFICA,INGRESSANTES_EGR,INGRESSANTES_OUTRO_TIPO_SELECAO,INGRESSANTES_PROC_SELETIVO,INGRESSANTES_VG_REMANESC,INGRESSANTES_VG_PROG_ESPECIAL,INGRESSANTES_OUTRA_FORMA,INGRESSANTES_0_17,INGRESSANTES_18_24,INGRESSANTES_25_29,INGRESSANTES_30_34,INGRESSANTES_35_39,INGRESSANTES_40_49,INGRESSANTES_50_59,INGRESSANTES_60_MAIS,INGRESSANTES_BRANCA,INGRESSANTES_PRETA,INGRESSANTES_PARDA,INGRESSANTES_AMARELA,INGRESSANTES_INDIGENA,INGRESSANTES_CORND,INGRESSANTES_NACBRAS,INGRESSANTES_NACESTRANG,INGRESSANTES_DEFICIENTE,INGRESSANTES_FINANC,INGRESSANTES_FINANC_REEMB,INGRESSANTES_FIES,INGRESSANTES_RPFIES,INGRESSANTES_FINANC_REEMB_OUTROS,INGRESSANTES_FINANC_NREEMB,INGRESSANTES_PROUNII,INGRESSANTES_PROUNIP,INGRESSANTES_NRPFIES,INGRESSANTES_FINANC_NREEMB_OUTROS,INGRESSANTES_RESERVA_VAGA,INGRESSANTES_RVREDEPUBLICA,INGRESSANTES_RVETNICO,INGRESSANTES_RVPDEF,INGRESSANTES_RVSOCIAL_RF,INGRESSANTES_RVOUTROS,INGRESSANTES_PROCESCPUBLICA,INGRESSANTES_PROCESCPRIVADA,INGRESSANTES_PROCNAOINFORMADA,INGRESSANTES_PARFOR,INGRESSANTES_APOIO_SOCIAL,INGRESSANTES_ATIV_EXTRACURRICULAR,INGRESSANTES_MOB_ACADEMICA,INGRESSANTES_AMPLA
121706,2009,CAXIAS,CIENCIAS BIOLOGICAS  BIOFISICA,63.0,39.0,24.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,2.0,7.0,0.0,0.0,42.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2.0,0.0,63.0
99287,2009,MACAE,CIENCIAS BIOLOGICAS - LICENCIATURA,62.0,45.0,17.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,51.0,5.0,4.0,0.0,1.0,0.0,0.0,17.0,1.0,7.0,0.0,0.0,37.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0
121848,2009,MACAE,ENFERMAGEM E OBSTETRICIA,17.0,15.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0
120922,2009,MACAE,FARMACIA,49.0,38.0,11.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,0.0,33.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,49.0
121850,2009,MACAE,MEDICINA,29.0,16.0,13.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,10.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0
121852,2009,MACAE,NUTRICAO,19.0,18.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0
120924,2009,MACAE,QUIMICA - LICENCIATURA,33.0,20.0,13.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,4.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,8.0,0.0,0.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0
14365,2009,CCJE,ADMINISTRACAO,178.0,78.0,100.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,162.0,12.0,2.0,0.0,1.0,0.0,0.0,72.0,4.0,12.0,0.0,0.0,90.0,170.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,6.0,0.0,178.0
14333,2009,CLA,ARQUITETURA E URBANISMO,297.0,211.0,86.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,3.0,280.0,11.0,1.0,2.0,0.0,0.0,0.0,126.0,6.0,19.0,3.0,0.0,143.0,253.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,34.0,0.0,297.0
23965,2009,CLA,ARTES CENICAS - CENOGRAFIA,29.0,16.0,13.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,1.0,2.0,0.0,0.0,2.0,1.0,14.0,0.0,2.0,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,29.0
