CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,MATRICULADOS,MATRICULADOS_FEM,MATRICULADOS_MASC,MATRICULADOS_DIURNO,MATRICULADOS_NOTURNO,MATRICULADOS_0_17,MATRICULADOS_18_24,MATRICULADOS_25_29,MATRICULADOS_30_34,MATRICULADOS_35_39,MATRICULADOS_40_49,MATRICULADOS_50_59,MATRICULADOS_60_MAIS,MATRICULADOS_BRANCA,MATRICULADOS_PRETA,MATRICULADOS_PARDA,MATRICULADOS_AMARELA,MATRICULADOS_INDIGENA,MATRICULADOS_CORND,MATRICULADOS_NACBRAS,MATRICULADOS_NACESTRANG,MATRICULADOS_DEFICIENTE,MATRICULADOS_FINANC,MATRICULADOS_FINANC_REEMB,MATRICULADOS_FIES,MATRICULADOS_RPFIES,MATRICULADOS_FINANC_REEMB_OUTROS,MATRICULADOS_FINANC_NREEMB,MATRICULADOS_PROUNII,MATRICULADOS_PROUNIP,MATRICULADOS_NRPFIES,MATRICULADOS_FINANC_NREEMB_OUTROS,MATRICULADOS_RESERVA_VAGA,MATRICULADOS_RVREDEPUBLICA,MATRICULADOS_RVETNICO,MATRICULADOS_RVPDEF,MATRICULADOS_RVSOCIAL_RF,MATRICULADOS_RVOUTROS,MATRICULADOS_PROCESCPUBLICA,MATRICULADOS_PROCESCPRIVADA,MATRICULADOS_PROCNAOINFORMADA,MATRICULADOS_PARFOR,MATRICULADOS_APOIO_SOCIAL,MATRICULADOS_ATIV_EXTRACURRICULAR,MATRICULADOS_MOB_ACADEMICA,MATRICULADOS_AMPLA
121706,2009,CAXIAS,CIENCIAS BIOLOGICAS  BIOFISICA,110.0,64.0,46.0,0.0,0.0,2.0,100.0,4.0,1.0,2.0,0.0,1.0,0.0,46.0,4.0,11.0,0.0,0.0,49.0,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,10.0,0.0,110.0
99287,2009,MACAE,CIENCIAS BIOLOGICAS - LICENCIATURA,173.0,121.0,52.0,0.0,0.0,0.0,138.0,23.0,8.0,2.0,2.0,0.0,0.0,79.0,8.0,36.0,2.0,1.0,47.0,173.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,31.0,0.0,173.0
121848,2009,MACAE,ENFERMAGEM E OBSTETRICIA,16.0,14.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0
120922,2009,MACAE,FARMACIA,88.0,67.0,21.0,0.0,0.0,0.0,83.0,3.0,0.0,1.0,1.0,0.0,0.0,35.0,1.0,13.0,2.0,0.0,37.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,4.0,0.0,88.0
121850,2009,MACAE,MEDICINA,29.0,16.0,13.0,0.0,0.0,1.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,10.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0
121852,2009,MACAE,NUTRICAO,18.0,17.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
120924,2009,MACAE,QUIMICA - LICENCIATURA,58.0,30.0,28.0,0.0,0.0,0.0,51.0,4.0,2.0,1.0,0.0,0.0,0.0,19.0,4.0,12.0,1.0,2.0,20.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,0.0,58.0
14365,2009,CCJE,ADMINISTRACAO,695.0,289.0,406.0,0.0,0.0,1.0,586.0,85.0,14.0,7.0,2.0,0.0,0.0,467.0,15.0,72.0,11.0,3.0,127.0,679.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,26.0,0.0,695.0
14333,2009,CLA,ARQUITETURA E URBANISMO,1381.0,929.0,452.0,0.0,0.0,3.0,1089.0,238.0,29.0,13.0,7.0,1.0,1.0,923.0,37.0,174.0,18.0,7.0,222.0,1305.0,76.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.0,230.0,0.0,1381.0
23965,2009,CLA,ARTES CENICAS - CENOGRAFIA,133.0,81.0,52.0,0.0,0.0,0.0,76.0,25.0,16.0,6.0,5.0,4.0,1.0,76.0,4.0,20.0,0.0,0.0,33.0,132.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,34.0,0.0,133.0
