INICIO,CO_CURSO,NO_CURSO,CENTRO,DURACAO,NOVO_CODIGO
2010,107783,LETRAS - PORTUGUÊS - HEBRAICO 2010 2019,CLA,4,107783
2010,107784,,CLA,4,107783
2010,5000776,,CLA,4,107783
2010,1114220,,CLA,4,107783
2014,1299979,,CLA,4,107783
,,,,4,
2010,107788,LETRAS - PORTUGUÊS - ALEMÃO 2010 2019,CLA,4,107788
2010,107789,,CLA,4,107788
2010,5000777,,CLA,4,107788
2010,1114221,,CLA,4,107788
,,,CLA,4,
2010,107790,LETRAS - PORTUGUÊS - ÁRABE 2010 2019,CLA,4,107790
2010,107791,,CLA,4,107790
2010,5000778,,CLA,4,107790
2010,1114222,,CLA,4,107790
,,,CLA,4,
2010,107792,LETRAS - PORTUGUÊS - RUSSO 2010 2019,CLA,4,107792
2010,107793,,CLA,4,107792
2010,5000779,,CLA,4,107792
2010,1114223,,CLA,4,107792
,,,CLA,4,
2010,107794,LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA 2010 2019,CLA,4,107794
2010,107795,,CLA,4,107794
2010,1127055,,CLA,4,107794
2010,5000780,,CLA,4,107794
2010,1114224,,CLA,4,107794
,,,CLA,4,
2010,107796,LETRAS - PORTUGUÊS - ESPANHOL 2010 2019,CLA,4,107796
2010,107797,,CLA,4,107796
2010,5000781,,CLA,4,107796
2010,1114225,,CLA,4,107796
,,,CLA,4,
2010,107798,LETRAS - PORTUGUÊS - FRANCÊS 2010 2019,CLA,4,107798
2010,107799,,CLA,4,107798
2010,5000782,,CLA,4,107798
2010,1114226,,CLA,4,107798
,,,CLA,4,
2010,107800,LETRAS - PORTUGUÊS - GREGO 2010 2019,CLA,4,107800
2010,107801,,CLA,4,107800
2010,5000783,,CLA,4,107800
2010,1114227,,CLA,4,107800
2014,1299978,,CLA,4,107800
,,,CLA,4,
2010,107802,LETRAS - PORTUGUÊS - ITALIANO 2010 2019,CLA,4,107802
2010,107803,,CLA,4,107802
2010,5000784,,CLA,4,107802
2010,1114228,,CLA,4,107802
2014,1299976,,CLA,4,107802
,,,CLA,4,
2010,107804,LETRAS - PORTUGUÊS - INGLÊS 2010 2019,CLA,4,107804
2010,107805,,CLA,4,107804
2010,5000785,,CLA,4,107804
2010,1114229,,CLA,4,107804
,,,CLA,4,
2010,107806,LETRAS - PORTUGUÊS - LATIM 2010 2019,CLA,4,107806
2010,107807,,CLA,4,107806
2010,5000786,,CLA,4,107806
2010,1114230,,CLA,4,107806
,,,CLA,4,
2010,107808,LETRAS - PORTUGUÊS - JAPONÊS 2010 2019,CLA,4,107808
2010,107809,,CLA,4,107808
2010,5000787,,CLA,4,107808
2010,1114231,,CLA,4,107808
,,,,4,
2010,14346,FILOSOFIA 2010 2022,IFCS,4,14346
,107720,,IFCS,4,14346
,314346,,IFCS,4,14346
,5000775,,IFCS,4,14346
,,,IFCS,4,
2010,14347,HISTÓRIA 2010 2019,IFCS,4,14347
,107716,,IFCS,4,14347
,107717,,IFCS,4,14347
,314347,,IFCS,4,14347
2014,5000689,,IFCS,4,14347
,5000798,,IFCS,4,14347
,,,,,
2010,107762,CIÊNCIAS SOCIAIS 2010 2013,IFCS,4,107762
,107786,,IFCS,4,107762
,314348,,IFCS,4,107762
2011,14348,,IFCS,4,107762
,,,,4,
2010,31956,COMUNICAÇÃO SOCIAL 2010 2018,ESCOLA DE COMUNICACAO,4,31956
2010,31960,,ESCOLA DE COMUNICACAO,4,31956
2010,25835,,ESCOLA DE COMUNICACAO,4,31956
2010,5000682,,ESCOLA DE COMUNICACAO,4,31956
2011,14357,,ESCOLA DE COMUNICACAO,4,31956
2011,23972,,ESCOLA DE COMUNICACAO,4,31956
,,,,4
,,,,,
2011,5000469,ENGENHARIAS MACAÉ,MACAE,5,5000469
2011,5001283,,MACAE,5,5000469
2011,5001281,,MACAE,5,5000469
2011,5001282,,MACAE,5,5000469
,,,,,
,63484,Ciências Biológicas EaD,EAD,4,63484
,63486,Física  EaD,EAD,4,63484
,123365,Química EaD,EAD,4,63484
,1442964,Ciências Contábeis EaD,EAD,4,63484
,,,,,
2010,29106,Ciências Biológicas Bacharelados Rio,CCS,5,29106
2010,31957,Ciências Biológicas Bacharelados Rio,CCS,5,29106
2010,31958,Ciências Biológicas Bacharelados Rio,CCS,5,29106
2010,31959,Ciências Biológicas Bacharelados Rio,CCS,5,29106
2010,23976,Ciências Biológicas Bacharelados Rio,CCS,5,29106
2010,5000669,Ciências Biológicas Bacharelados Rio,CCS,5,29106
