CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,DURACAO,ANO_INTEGRALIZACAO,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA
14323,FÍSICA,2017,2017,5,2021,48,46,0,2,95.83333333,0.0,4.166666667,0.0,4.166666667
14323,FÍSICA,2017,2018,5,2021,48,43,0,3,89.58333333,0.0,10.41666667,0.0,6.25
14323,FÍSICA,2017,2019,5,2021,48,35,1,7,72.91666667,2.083333333,25.0,2.083333333,14.58333333
14323,FÍSICA,2017,2020,5,2021,48,29,4,2,60.41666667,10.41666667,29.16666667,8.333333333,4.166666667
14323,FÍSICA,2017,2021,5,2021,48,16,8,5,33.33333333,27.08333333,39.58333333,16.66666667,10.41666667
14324,ASTRONOMIA,2017,2017,5,2021,27,25,0,2,92.59259259,0.0,7.407407407,0.0,7.407407407
14324,ASTRONOMIA,2017,2018,5,2021,27,21,1,3,77.77777778,3.703703704,18.51851852,3.703703704,11.11111111
14324,ASTRONOMIA,2017,2019,5,2021,27,17,0,4,62.96296296,3.703703704,33.33333333,0.0,14.81481481
14324,ASTRONOMIA,2017,2020,5,2021,27,16,0,1,59.25925926,3.703703704,37.03703704,0.0,3.703703704
14324,ASTRONOMIA,2017,2021,5,2021,27,13,0,3,48.14814815,3.703703704,48.14814815,0.0,11.11111111
14325,METEOROLOGIA,2017,2017,5,2021,43,37,0,6,86.04651163,0.0,13.95348837,0.0,13.95348837
14325,METEOROLOGIA,2017,2018,5,2021,43,31,0,6,72.09302326,0.0,27.90697674,0.0,13.95348837
14325,METEOROLOGIA,2017,2019,5,2021,43,22,0,9,51.1627907,0.0,48.8372093,0.0,20.93023256
14325,METEOROLOGIA,2017,2020,5,2021,43,19,1,2,44.18604651,2.325581395,53.48837209,2.325581395,4.651162791
14325,METEOROLOGIA,2017,2021,5,2021,43,18,0,1,41.86046512,2.325581395,55.81395349,0.0,2.325581395
14326,GEOGRAFIA,2017,2017,5,2021,59,59,0,0,100.0,0.0,0.0,0.0,0.0
14326,GEOGRAFIA,2017,2018,5,2021,59,58,0,1,98.30508475,0.0,1.694915254,0.0,1.694915254
14326,GEOGRAFIA,2017,2019,5,2021,59,48,2,8,81.3559322,3.389830508,15.25423729,3.389830508,13.55932203
14326,GEOGRAFIA,2017,2020,5,2021,59,43,4,1,72.88135593,10.16949153,16.94915254,6.779661017,1.694915254
