,NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
209,2021,,,,,,,,,3,1,1,1,586,Ciências Biológicas,63484,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,1,901,0,0,901,570,0,2,329,400,0,0,400,376,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2021,,,,,,,,,3,1,1,1,586,Ciências Contábeis,1442964,Contabilidade,"""0411C01""",4,"Negócios, administração e direito",41,Negócios e administração,411,Contabilidade e tributação,1.0,1,2,1,1,652,0,0,652,384,0,0,268,321,0,0,321,301,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2021,,,,,,,,,3,1,1,1,586,Física,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,1,802,0,0,802,603,0,0,199,190,0,0,190,186,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2021,,,,,,,,,3,1,1,1,586,Química,123365,Química formação de professor,"""0114Q01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,1,408,0,0,408,290,0,1,117,129,0,0,129,119,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229438,2021,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Angra dos Reis,3300100.0,0.0,2,1,1,1,586,Ciências Biológicas,63484,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25,11,0,0,36,0,0,0,36,0,0,0,0,0,0,0,18,10,2,2,3,1,0,7,2,2,0,0,25,205,152,53,0,0,0,74,54,24,20,25,6,2,57,17,32,1,0,98,13,11,2,0,0,0,2,4,4,2,1,0,0,6,2,3,0,0,2,36,0,205,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,1,0,0,4,32,0,10,184,11,1,9,3,1,0,0,0,452,36,205,13,43,0,42,5,0,0,0,0
229439,2021,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Angra dos Reis,3300100.0,0.0,2,1,1,1,586,Física,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,7,0,0,9,0,0,0,9,0,0,0,0,0,0,0,1,3,1,2,1,1,0,4,1,1,0,0,3,23,8,15,0,0,0,4,3,1,9,3,2,1,9,1,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,3,6,0,3,17,3,0,0,0,0,0,0,0,72,9,23,0,0,0,0,0,0,0,0,0
229440,2021,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Angra dos Reis,3300100.0,0.0,2,1,1,1,586,Química,123365,Química formação de professor,"""0114Q01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,9,0,0,0,9,0,0,0,0,0,0,0,1,2,2,1,3,0,0,4,0,3,1,0,1,31,15,16,0,0,0,5,5,8,5,7,1,0,8,0,10,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,1,8,0,2,26,3,0,0,0,0,0,0,0,84,9,31,0,2,0,2,0,0,0,0,0
231580,2021,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Belford Roxo,3300456.0,0.0,2,1,1,1,586,Ciências Contábeis,1442964,Contabilidade,"""0411C01""",4,"Negócios, administração e direito",41,Negócios e administração,411,Contabilidade e tributação,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,32,45,0,0,77,0,0,0,77,0,0,0,0,0,0,0,16,15,19,18,8,1,0,21,8,20,0,0,28,217,88,129,0,0,0,33,48,56,41,29,10,0,65,23,63,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,217,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,0,0,11,66,0,38,179,0,0,0,0,0,0,0,0,293,77,217,0,0,0,0,0,0,0,0,0
234481,2021,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,Ciências Biológicas: Biofísica,121706,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1,42,42,0,0,40,0,2,0,174,174,0,0,174,0,0,0,40,27,13,40,0,40,0,40,0,0,0,0,0,0,0,0,2,32,4,0,0,1,1,0,23,7,9,1,0,0,130,88,42,130,0,2,97,23,3,2,1,2,0,62,28,33,1,0,6,10,6,4,10,0,0,8,1,1,0,0,0,0,6,1,3,0,0,0,40,0,128,2,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,0,12,0,63,63,36,0,36,0,3,3,2,0,2,0,53,5,1,0,23,17,0,78,50,2,5,5,0,0,0,0,0,189,40,130,10,42,0,38,9,0,0,0,0
234482,2021,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,Ciências Biológicas: Biotecnologia,1114292,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1,117,117,0,0,100,0,17,0,853,853,0,0,853,0,0,0,100,76,24,100,0,100,0,100,0,0,0,0,0,0,0,0,1,90,4,1,2,2,0,0,41,7,36,3,0,13,385,268,117,385,0,1,310,57,10,2,4,1,0,181,43,130,5,1,25,34,24,10,34,0,0,23,9,2,0,0,0,0,17,3,13,0,0,1,100,0,381,4,34,0,13,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,26,2,23,0,172,172,96,3,91,0,11,11,5,0,3,0,101,31,1,0,51,49,0,192,189,4,11,23,0,0,0,0,0,518,100,385,34,176,3,163,22,0,0,0,0
