CO_CURSO,NO_CURSO,MODALIDADE,TURNO,CENTRO,DURACAO
121706,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,INTEGRAL,CAXIAS,4
1114292,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,INTEGRAL,CAXIAS,4
1114291,NANOTECNOLOGIA,Bacharelado,INTEGRAL,CAXIAS,4
14365,ADMINISTRAÇÃO,Bacharelado,INTEGRAL,CCJE,5
99321,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,INTEGRAL,CCJE,4
1125885,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,INTEGRAL,CCJE,4
14364,CIÊNCIAS CONTÁBEIS,Bacharelado,INTEGRAL,CCJE,5
1125881,CIÊNCIAS CONTÁBEIS,Bacharelado,INTEGRAL,CCJE,5
14366,CIÊNCIAS ECONÔMICAS,Bacharelado,INTEGRAL,CCJE,4
1114299,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,NOTURNO,CCJE,4
14363,DIREITO,Bacharelado,INTEGRAL,CCJE,5
1114296,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,INTEGRAL,CCJE,4
116840,RELAÇÕES INTERNACIONAIS,Bacharelado,NOTURNO,CCJE,4
14324,ASTRONOMIA,Bacharelado,INTEGRAL,CCMN,4
85783,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,INTEGRAL,CCMN,5
14331,CIÊNCIAS ATUARIAIS,Bacharelado,INTEGRAL,CCMN,4
116844,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,INTEGRAL,CCMN,3
14330,ESTATÍSTICA,Bacharelado,INTEGRAL,CCMN,4
14323,FÍSICA,Bacharelado,INTEGRAL,CCMN,4
44363,FÍSICA,Licenciatura,NOTURNO,CCMN,5
29307,FÍSICA MÉDICA,Bacharelado,INTEGRAL,CCMN,4
14326,GEOGRAFIA,Licenciatura,NOTURNO,CCMN,4
314326,GEOGRAFIA,Bacharelado,INTEGRAL,CCMN,4
14327,GEOLOGIA,Bacharelado,INTEGRAL,CCMN,5
14328,MATEMÁTICA,Licenciatura,INTEGRAL,CCMN,4
314328,MATEMÁTICA,Bacharelado,INTEGRAL,CCMN,4
71061,MATEMÁTICA APLICADA,Bacharelado,INTEGRAL,CCMN,4
14325,METEOROLOGIA,Bacharelado,INTEGRAL,CCMN,4
14332,QUÍMICA,Bacharelado,INTEGRAL,CCMN,5
45204,QUÍMICA,Licenciatura,NOTURNO,CCMN,5
44900,CIÊNCIAS BIOLÓGICAS,Licenciatura,INTEGRAL,CCS,4
112584,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,INTEGRAL,CCS,4
112586,CIÊNCIAS BIOLÓGICAS: MICROBIOLOGIA E IMUNOLOGIA,Bacharelado,INTEGRAL,CCS,4
112582,CIÊNCIAS BIOLÓGICAS: MODALIDADE MÉDICA,Bacharelado,INTEGRAL,CCS,4
14372,DANÇA,Bacharelado,NOTURNO,CCS,5
1107284,DANÇA,Licenciatura,NOTURNO,CCS,4
