NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,CENTRO,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,EVASAO,RETENCAO,SUCESSO
2010,3152.0,918.0,361.0,,,,,,,,,,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3122.0,1059.0,430.0,1.2194582562353344,,,,,,25.669078240765415,,,CCMN,,,,1.2194582562353344,,,1.2194582562353344,,,25.669078240765415,,,8.838289689769766,,,0.8718505137858119,,,3.737405064694245,,,18.001844544622582,,,8.928301991473646,,,26.88853649700075,,
2012,3045.0,1012.0,300.0,5.327214387394183,,,,,,19.526322144335147,,,CCMN,,,,3.5332930266452225,,,5.3386632632917745,,,21.355498986587055,,,7.410715879160754,,,1.140432630748933,,,3.438442454464696,,,16.25261080885194,,,8.600925722877388,,,24.85353653172933,,
2013,3387.0,1142.0,289.0,20.871287474917573,,,4.906776169930163,,,1.5987186650289182,15.323294951284323,0.09286845425020802,CCMN,1.7770876673458,,,3.50652022709161,,,1.2166921956129777,,,15.528527573978426,15.323294951284323,0.09286845425020802,5.698178483092093,10.448990942790767,0.09286845425020802,0.9811197913465443,2.2391616191439043,,2.8756406251281335,4.495091153638541,,12.73734194394376,14.92473450179385,,6.1633834573433655,15.323294951284323,0.09286845425020802,18.78857006326819,15.04210990924897,0.09286845425020802
2014,3364.0,1148.0,274.0,10.35683866608302,5.341177764805604,0.6786455909976047,1.69581530278834,,1.199212100648464,17.429053330202514,33.40225730134141,16.525377560020935,CCMN,2.8890888383063063,,,6.5841173456364395,5.500351936604445,0.25019817677368206,2.2694962481399457,5.305805726628083,,20.884295475162034,31.292920137108407,18.153037074893323,10.617639935953326,16.733467654935268,10.88171516330357,1.3133884714408233,3.1864458079753955,0.5402548760394003,4.256550866891037,6.943063903081654,2.766965801105776,18.59171036700605,26.538756637555803,12.592955494827276,8.923919448602204,21.124911984366285,5.8102797568397255,27.435256322124737,31.31271519042622,18.403235251667006
2015,3345.0,1081.0,245.0,12.47094528279401,20.359961017586233,2.5537601415259714,10.266004260174498,,2.924461582334975,3.502882609817802,52.86633449562394,24.333085471096762,CCMN,4.59622963812729,,,9.801420160211379,14.450501915531031,1.4045206730157993,4.485543707597376,8.069572489588019,0.09075379030535981,16.146391584096456,59.41567920962085,28.406786521941907,6.237712776339487,27.533557799784074,18.93915863121185,1.4456414699792088,3.6789854883598707,1.7061504114400246,5.488156084237232,16.357074496114283,4.332566858332464,17.09790557113492,49.02615871694244,19.88959862475499,8.849906173172917,31.534159884818646,9.92170857020272,25.94781174430783,63.384080980293966,29.81130719495771
2016,3204.0,1066.0,311.0,15.337973154963294,46.98265489698868,6.773414375786437,12.213766446945513,14.513108614232209,7.173453363231606,2.864181463328611,22.490299562217633,24.552872120661945,CCMN,7.346831086061881,5.816750225906898,0.11720043822772555,12.836801101276466,25.269731950537704,3.6824143356805332,6.305718070399477,12.965784554346122,0.11720043822772555,17.357749326264695,43.02185241682762,34.81732552399945,9.222724246544956,26.90177946475232,22.59842221070105,1.8796329409646417,4.432583769652474,2.524296821140455,7.5633763880524345,13.17140547482115,5.879224672229145,20.251051795658086,43.21444549539255,24.91940634696508,9.943498631883074,29.35721165311211,13.580333512714908,30.194550427541163,55.067899606653185,38.49973985967999
2017,3597.0,1118.0,305.0,7.858444144214777,62.92938773681988,7.160678757079666,7.39928219431597,35.18074051498935,11.87081510278357,0.4787171017670938,1.17794926294745,14.946848000223646,CCMN,4.120818055338916,15.817002760430874,0.8631800855453461,6.92486753656573,33.800209964679176,4.49737515523992,3.2785464429507942,14.51434546886578,0.5873188103816871,7.4861458182523934,43.919984824626844,29.48096670484696,3.224041276966476,24.45416717276499,20.706904033790284,0.9392497996798785,4.1328871029865955,2.08832793312197,4.0272865541614244,21.169103857131997,5.464131090408474,9.112634504235281,47.96772850706625,21.341092285260284,5.371141293948239,30.819125892325836,12.6372495748266,14.375269282376804,59.30333160018205,33.978341860086886
2018,3601.0,1093.0,321.0,12.199151292053148,49.491548507768414,11.859131638947963,10.410446688040391,51.69098681517458,10.653474150885344,0.6778263567927654,0.203381901901823,8.068591233519655,CCMN,6.48935264163774,27.55260459160283,1.878322923204677,10.707948711248722,39.704541390586385,6.767511130842099,5.178352740383156,23.533739549934573,1.7667028012449244,12.385305623371288,44.96545674972258,23.813685892510865,8.08868593897691,26.81463192706549,18.871539274491308,1.9894278500324094,6.3044504552708,1.8157689570676312,7.476309473152611,23.991999212649162,6.305396040470266,15.897382254527521,52.56320114705161,18.881936108335147,7.229359510054753,30.36339144222548,11.699260915017817,23.09325433462001,60.8721154547334,30.58119702335296
2019,3709.0,1096.0,285.0,11.169510572167995,49.782697811442155,10.3917078027272,9.040203566401406,38.914018066610794,13.909474343552532,0.330103316858057,0.12695799178737271,6.403131418157066,CCMN,5.833737614610725,28.962231111643366,2.9363055121899357,9.458579192233204,45.321142421966,7.934134318104563,4.708677524786086,26.190353299711106,2.4572911243066646,10.587048836507918,34.11246777214708,22.770179246332237,5.656055945207266,22.875445211899844,17.20392655083457,1.6133664106952568,8.205757317015758,3.2352097420400923,6.695312856463173,22.98351117520235,7.524805374212256,13.321980394687394,50.80631471916227,18.591234827504085,6.72364763405373,24.912871972083483,12.113078736932716,20.010578150067627,60.11704327174269,30.704313564436795
